,id,freq,roi,deg
148,GenZ_110_9a,theta,0,0.0
149,GenZ_110_9a,theta,2,0.0
150,GenZ_110_9a,theta,3,0.0
151,GenZ_110_9a,theta,35,0.0
152,GenZ_110_9a,alpha,0,0.0
153,GenZ_110_9a,alpha,2,0.0
154,GenZ_110_9a,alpha,3,0.0
155,GenZ_110_9a,alpha,35,0.0
156,GenZ_110_9a,beta,0,0.0
157,GenZ_110_9a,beta,2,0.0
158,GenZ_110_9a,beta,3,0.0
159,GenZ_110_9a,beta,35,0.0
160,GenZ_110_9a,gamma,0,0.0
161,GenZ_110_9a,gamma,2,0.0
162,GenZ_110_9a,gamma,3,0.0
163,GenZ_110_9a,gamma,35,0.0
164,GenZ_110_9a,gamma2,0,0.0
165,GenZ_110_9a,gamma2,2,0.0
166,GenZ_110_9a,gamma2,3,0.0
167,GenZ_110_9a,gamma2,35,0.0
168,GenZ_111_9a,DC,0,0.0
169,GenZ_111_9a,DC,2,0.0
170,GenZ_111_9a,DC,3,0.0
171,GenZ_111_9a,DC,35,0.0
172,GenZ_111_9a,delta,0,0.0
173,GenZ_111_9a,delta,2,0.0
174,GenZ_111_9a,delta,3,0.0
175,GenZ_111_9a,delta,35,0.0
176,GenZ_111_9a,theta,0,0.0
177,GenZ_111_9a,theta,2,0.0
178,GenZ_111_9a,theta,3,0.0
179,GenZ_111_9a,theta,35,0.0
180,GenZ_111_9a,alpha,0,0.0
181,GenZ_111_9a,alpha,2,0.0
182,GenZ_111_9a,alpha,3,0.0
183,GenZ_111_9a,alpha,35,0.0
184,GenZ_111_9a,beta,0,0.0
185,GenZ_111_9a,beta,2,0.0
186,GenZ_111_9a,beta,3,0.0
187,GenZ_111_9a,beta,35,0.0
188,GenZ_111_9a,gamma,0,0.0
189,GenZ_111_9a,gamma,2,0.0
190,GenZ_111_9a,gamma,3,0.0
191,GenZ_111_9a,gamma,35,0.0
192,GenZ_111_9a,gamma2,0,0.0
193,GenZ_111_9a,gamma2,2,0.0
194,GenZ_111_9a,gamma2,3,0.0
195,GenZ_111_9a,gamma2,35,0.0
196,GenZ_112_9a,DC,0,0.0
197,GenZ_112_9a,DC,2,0.0
198,GenZ_112_9a,DC,3,0.0
199,GenZ_112_9a,DC,35,0.0
200,GenZ_112_9a,delta,0,0.0
201,GenZ_112_9a,delta,2,0.0
202,GenZ_112_9a,delta,3,0.0
