,sid,freq,roi,aec
0,genz426_15a,DC,bankssts_1-lh,0.023606538317077777
1,genz426_15a,DC,bankssts_1-rh,0.2949809833460108
2,genz426_15a,DC,bankssts_2-lh,0.2037879143066975
3,genz426_15a,DC,bankssts_2-rh,0.2902715581747699
4,genz426_15a,DC,bankssts_3-lh,0.28074854428927737
5,genz426_15a,DC,bankssts_3-rh,0.25693629661745115
6,genz426_15a,DC,caudalanteriorcingulate_1-lh,0.26668269409025497
7,genz426_15a,DC,caudalanteriorcingulate_1-rh,0.25714523946315343
8,genz426_15a,DC,caudalanteriorcingulate_2-lh,0.28006653888181887
9,genz426_15a,DC,caudalanteriorcingulate_2-rh,0.2574947232568968
10,genz426_15a,DC,caudalanteriorcingulate_3-rh,0.27269803472424176
11,genz426_15a,DC,caudalmiddlefrontal_1-lh,0.27314878909290013
12,genz426_15a,DC,caudalmiddlefrontal_1-rh,0.2972920979833815
13,genz426_15a,DC,caudalmiddlefrontal_2-lh,0.2940698033977283
14,genz426_15a,DC,caudalmiddlefrontal_2-rh,0.294496724667326
15,genz426_15a,DC,caudalmiddlefrontal_3-lh,0.2470594699730373
16,genz426_15a,DC,caudalmiddlefrontal_3-rh,0.26954021569481407
17,genz426_15a,DC,caudalmiddlefrontal_4-lh,0.2908422874207657
18,genz426_15a,DC,caudalmiddlefrontal_4-rh,0.2829386347201254
19,genz426_15a,DC,caudalmiddlefrontal_5-lh,0.26202847985400585
20,genz426_15a,DC,caudalmiddlefrontal_5-rh,0.25380721108931414
21,genz426_15a,DC,caudalmiddlefrontal_6-lh,0.26861864722527273
22,genz426_15a,DC,cuneus_1-lh,0.2873227935109193
23,genz426_15a,DC,cuneus_1-rh,0.282127436220491
24,genz426_15a,DC,cuneus_2-lh,0.29907250038050653
25,genz426_15a,DC,cuneus_2-rh,0.2530763557344169
26,genz426_15a,DC,cuneus_3-lh,0.2746087553093446
27,genz426_15a,DC,cuneus_3-rh,0.25336407236376185
28,genz426_15a,DC,cuneus_4-rh,0.2606694563877161
29,genz426_15a,DC,entorhinal_1-lh,0.2504452044249511
30,genz426_15a,DC,entorhinal_1-rh,0.2481078881352154
31,genz426_15a,DC,frontalpole_1-lh,0.23620400053892976
32,genz426_15a,DC,frontalpole_1-rh,0.30027003205852143
33,genz426_15a,DC,fusiform_1-lh,0.24531891015046867
34,genz426_15a,DC,fusiform_1-rh,0.2832969422231571
35,genz426_15a,DC,fusiform_2-lh,0.2652772421921299
36,genz426_15a,DC,fusiform_2-rh,0.2720219808811087
37,genz426_15a,DC,fusiform_3-lh,0.2611274388885343
38,genz426_15a,DC,fusiform_3-rh,0.26215867107748253
39,genz426_15a,DC,fusiform_4-lh,0.26055794947196304
40,genz426_15a,DC,fusiform_4-rh,0.26293398608701624
41,genz426_15a,DC,fusiform_5-lh,0.26406350186463784
42,genz426_15a,DC,fusiform_5-rh,0.2961394345748614
43,genz426_15a,DC,fusiform_6-lh,0.2399179371513905
44,genz426_15a,DC,fusiform_6-rh,0.3094677287546861
45,genz426_15a,DC,fusiform_7-lh,0.2639560256023338
46,genz426_15a,DC,fusiform_7-rh,0.2610634000415307
47,genz426_15a,DC,fusiform_8-lh,0.29420327503691435
48,genz426_15a,DC,fusiform_8-rh,0.23781851825011557
49,genz426_15a,DC,inferiorparietal_1-lh,0.24264545226194104
50,genz426_15a,DC,inferiorparietal_1-rh,0.2958122963952962
51,genz426_15a,DC,inferiorparietal_10-lh,0.2446879751658898
52,genz426_15a,DC,inferiorparietal_10-rh,0.2586664325747286
53,genz426_15a,DC,inferiorparietal_11-rh,0.26054151432321687
54,genz426_15a,DC,inferiorparietal_12-rh,0.26514722956692627
55,genz426_15a,DC,inferiorparietal_2-lh,0.26694371822898233
56,genz426_15a,DC,inferiorparietal_2-rh,0.28271333451920794
57,genz426_15a,DC,inferiorparietal_3-lh,0.24913502210296923
58,genz426_15a,DC,inferiorparietal_3-rh,0.2966597375581213
59,genz426_15a,DC,inferiorparietal_4-lh,0.24990403624328533
60,genz426_15a,DC,inferiorparietal_4-rh,0.29741697260493405
61,genz426_15a,DC,inferiorparietal_5-lh,0.26172650853458984
62,genz426_15a,DC,inferiorparietal_5-rh,0.2855044639509429
63,genz426_15a,DC,inferiorparietal_6-lh,0.25901875530856494
64,genz426_15a,DC,inferiorparietal_6-rh,0.2791790113992411
65,genz426_15a,DC,inferiorparietal_7-lh,0.26955841592012814
66,genz426_15a,DC,inferiorparietal_7-rh,0.26387251844007803
67,genz426_15a,DC,inferiorparietal_8-lh,0.2694363444010121
68,genz426_15a,DC,inferiorparietal_8-rh,0.2380667080887077
69,genz426_15a,DC,inferiorparietal_9-lh,0.2842806621621688
70,genz426_15a,DC,inferiorparietal_9-rh,0.27989819319619313
71,genz426_15a,DC,inferiortemporal_1-lh,0.2833949529497269
72,genz426_15a,DC,inferiortemporal_1-rh,0.2554324450089401
73,genz426_15a,DC,inferiortemporal_2-lh,0.2640800513152891
74,genz426_15a,DC,inferiortemporal_2-rh,0.2886542418095963
75,genz426_15a,DC,inferiortemporal_3-lh,0.2763648261536695
76,genz426_15a,DC,inferiortemporal_3-rh,0.2412988695232209
77,genz426_15a,DC,inferiortemporal_4-lh,0.28694082883360633
78,genz426_15a,DC,inferiortemporal_4-rh,0.2822751585393134
79,genz426_15a,DC,inferiortemporal_5-lh,0.26790527250470264
80,genz426_15a,DC,inferiortemporal_5-rh,0.28240939320783937
81,genz426_15a,DC,inferiortemporal_6-lh,0.241669942530377
82,genz426_15a,DC,inferiortemporal_6-rh,0.2644564604266244
83,genz426_15a,DC,inferiortemporal_7-lh,0.2569917470325934
84,genz426_15a,DC,inferiortemporal_7-rh,0.2608679871414344
85,genz426_15a,DC,inferiortemporal_8-lh,0.27916901565718005
86,genz426_15a,DC,insula_1-lh,0.2635252285378624
87,genz426_15a,DC,insula_1-rh,0.26568794890101066
88,genz426_15a,DC,insula_2-lh,0.2583005965392083
89,genz426_15a,DC,insula_2-rh,0.2544475512786652
90,genz426_15a,DC,insula_3-lh,0.26250368653881057
91,genz426_15a,DC,insula_3-rh,0.265097047754626
92,genz426_15a,DC,insula_4-lh,0.27727332203170474
93,genz426_15a,DC,insula_4-rh,0.25149006293102466
94,genz426_15a,DC,insula_5-lh,0.2702729265770467
95,genz426_15a,DC,insula_5-rh,0.2660367436362686
96,genz426_15a,DC,insula_6-lh,0.26821246584754255
97,genz426_15a,DC,insula_6-rh,0.2601551911748581
98,genz426_15a,DC,insula_7-lh,0.24900600652015442
99,genz426_15a,DC,insula_7-rh,0.2548472551129399
100,genz426_15a,DC,isthmuscingulate_1-lh,0.2622513962137743
101,genz426_15a,DC,isthmuscingulate_1-rh,0.2991735980524751
102,genz426_15a,DC,isthmuscingulate_2-lh,0.27688221665263507
103,genz426_15a,DC,isthmuscingulate_2-rh,0.29906431073580364
104,genz426_15a,DC,isthmuscingulate_3-lh,0.2626962698557643
105,genz426_15a,DC,lateraloccipital_1-lh,0.2667857237348903
106,genz426_15a,DC,lateraloccipital_1-rh,0.2908942660399026
107,genz426_15a,DC,lateraloccipital_10-lh,0.25937967105073567
108,genz426_15a,DC,lateraloccipital_10-rh,0.26872159612416224
109,genz426_15a,DC,lateraloccipital_11-lh,0.2726201597704269
110,genz426_15a,DC,lateraloccipital_2-lh,0.26997668198699126
111,genz426_15a,DC,lateraloccipital_2-rh,0.2871379783246779
112,genz426_15a,DC,lateraloccipital_3-lh,0.27342821363994063
113,genz426_15a,DC,lateraloccipital_3-rh,0.29807375228917266
114,genz426_15a,DC,lateraloccipital_4-lh,0.27961040300123613
115,genz426_15a,DC,lateraloccipital_4-rh,0.29307114174143173
116,genz426_15a,DC,lateraloccipital_5-lh,0.2676671594110242
117,genz426_15a,DC,lateraloccipital_5-rh,0.311907614582079
118,genz426_15a,DC,lateraloccipital_6-lh,0.2910331212207832
119,genz426_15a,DC,lateraloccipital_6-rh,0.2573646851871882
120,genz426_15a,DC,lateraloccipital_7-lh,0.25439180351506313
121,genz426_15a,DC,lateraloccipital_7-rh,0.2849446648027486
122,genz426_15a,DC,lateraloccipital_8-lh,0.24874054585799774
123,genz426_15a,DC,lateraloccipital_8-rh,0.26910504524618595
124,genz426_15a,DC,lateraloccipital_9-lh,0.2773775201797733
125,genz426_15a,DC,lateraloccipital_9-rh,0.26026768286483604
126,genz426_15a,DC,lateralorbitofrontal_1-lh,0.2624391295908073
127,genz426_15a,DC,lateralorbitofrontal_1-rh,0.2671666699842009
128,genz426_15a,DC,lateralorbitofrontal_2-lh,0.2491275987604231
129,genz426_15a,DC,lateralorbitofrontal_2-rh,0.2874288753682999
130,genz426_15a,DC,lateralorbitofrontal_3-lh,0.26711530777113696
131,genz426_15a,DC,lateralorbitofrontal_3-rh,0.2957008080400764
132,genz426_15a,DC,lateralorbitofrontal_4-lh,0.2740688420753831
133,genz426_15a,DC,lateralorbitofrontal_4-rh,0.2660867636751592
134,genz426_15a,DC,lateralorbitofrontal_5-lh,0.2695969198710964
135,genz426_15a,DC,lateralorbitofrontal_5-rh,0.26077736745970714
136,genz426_15a,DC,lateralorbitofrontal_6-lh,0.3106241971417517
137,genz426_15a,DC,lateralorbitofrontal_6-rh,0.2667204743191189
138,genz426_15a,DC,lateralorbitofrontal_7-lh,0.25971593887579575
139,genz426_15a,DC,lateralorbitofrontal_7-rh,0.2570709173587903
140,genz426_15a,DC,lingual_1-lh,0.2562930174667094
141,genz426_15a,DC,lingual_1-rh,0.2975335977534509
142,genz426_15a,DC,lingual_2-lh,0.29247999422476934
143,genz426_15a,DC,lingual_2-rh,0.27146791422125105
144,genz426_15a,DC,lingual_3-lh,0.2589947291239249
145,genz426_15a,DC,lingual_3-rh,0.2824180815223818
146,genz426_15a,DC,lingual_4-lh,0.266775404745272
147,genz426_15a,DC,lingual_4-rh,0.2601463266507753
148,genz426_15a,DC,lingual_5-lh,0.26672838396946424
149,genz426_15a,DC,lingual_5-rh,0.2563433001746909
150,genz426_15a,DC,lingual_6-lh,0.2547906667563933
151,genz426_15a,DC,lingual_6-rh,0.28205912788152226
152,genz426_15a,DC,lingual_7-lh,0.28613376222116843
153,genz426_15a,DC,lingual_7-rh,0.2897743235389371
154,genz426_15a,DC,lingual_8-lh,0.27349997335186044
155,genz426_15a,DC,medialorbitofrontal_1-lh,0.2749305854135866
156,genz426_15a,DC,medialorbitofrontal_1-rh,0.2862326827476641
157,genz426_15a,DC,medialorbitofrontal_2-lh,0.25870263315312764
158,genz426_15a,DC,medialorbitofrontal_2-rh,0.2701009336617805
159,genz426_15a,DC,medialorbitofrontal_3-lh,0.2662943340464762
160,genz426_15a,DC,medialorbitofrontal_3-rh,0.2650106097885442
161,genz426_15a,DC,medialorbitofrontal_4-lh,0.23578934374897936
162,genz426_15a,DC,medialorbitofrontal_4-rh,0.2647505820303817
163,genz426_15a,DC,medialorbitofrontal_5-lh,0.2590218755884087
164,genz426_15a,DC,medialorbitofrontal_5-rh,0.25309131076087354
165,genz426_15a,DC,middletemporal_1-lh,0.22805502352039422
166,genz426_15a,DC,middletemporal_1-rh,0.30817933127976244
167,genz426_15a,DC,middletemporal_2-lh,0.24339596877905487
168,genz426_15a,DC,middletemporal_2-rh,0.28279343439525634
169,genz426_15a,DC,middletemporal_3-lh,0.2416052494841366
170,genz426_15a,DC,middletemporal_3-rh,0.28296187854464766
171,genz426_15a,DC,middletemporal_4-lh,0.30445858156165495
172,genz426_15a,DC,middletemporal_4-rh,0.2592638563290438
173,genz426_15a,DC,middletemporal_5-lh,0.27269135670100936
174,genz426_15a,DC,middletemporal_5-rh,0.2858560827674121
175,genz426_15a,DC,middletemporal_6-lh,0.26510024254153663
