,sid,freq,roi,aec
96,genz132_9a,DC,insula_6-lh,0.29403365799947295
97,genz132_9a,DC,insula_6-rh,0.30655050168733733
98,genz132_9a,DC,insula_7-lh,0.29451627372324457
99,genz132_9a,DC,insula_7-rh,0.2974743647978534
100,genz132_9a,DC,isthmuscingulate_1-lh,0.2543326022210471
101,genz132_9a,DC,isthmuscingulate_1-rh,0.29564548067682855
102,genz132_9a,DC,isthmuscingulate_2-lh,0.2713960816173823
103,genz132_9a,DC,isthmuscingulate_2-rh,0.285451583167974
104,genz132_9a,DC,isthmuscingulate_3-lh,0.27767491598753063
105,genz132_9a,DC,lateraloccipital_1-lh,0.23968490123758104
106,genz132_9a,DC,lateraloccipital_1-rh,0.23960824954783663
107,genz132_9a,DC,lateraloccipital_10-lh,0.25887871923359224
108,genz132_9a,DC,lateraloccipital_10-rh,0.2588681201550357
109,genz132_9a,DC,lateraloccipital_11-lh,0.26293970415785295
110,genz132_9a,DC,lateraloccipital_2-lh,0.29319924499640865
111,genz132_9a,DC,lateraloccipital_2-rh,0.25978279526068776
112,genz132_9a,DC,lateraloccipital_3-lh,0.2417551964140087
113,genz132_9a,DC,lateraloccipital_3-rh,0.24754674567084287
114,genz132_9a,DC,lateraloccipital_4-lh,0.25412651119609697
115,genz132_9a,DC,lateraloccipital_4-rh,0.2762024880819998
116,genz132_9a,DC,lateraloccipital_5-lh,0.25489239320083595
117,genz132_9a,DC,lateraloccipital_5-rh,0.2478292870247435
118,genz132_9a,DC,lateraloccipital_6-lh,0.28865150148589885
119,genz132_9a,DC,lateraloccipital_6-rh,0.25479245274214707
120,genz132_9a,DC,lateraloccipital_7-lh,0.2930209808694792
121,genz132_9a,DC,lateraloccipital_7-rh,0.2615967826251778
122,genz132_9a,DC,lateraloccipital_8-lh,0.26484785521518633
123,genz132_9a,DC,lateraloccipital_8-rh,0.2821749833033266
124,genz132_9a,DC,lateraloccipital_9-lh,0.22236181966702123
125,genz132_9a,DC,lateraloccipital_9-rh,0.2585474509499955
126,genz132_9a,DC,lateralorbitofrontal_1-lh,0.3004417948921863
127,genz132_9a,DC,lateralorbitofrontal_1-rh,0.29505966229752234
128,genz132_9a,DC,lateralorbitofrontal_2-lh,0.2990834367835437
129,genz132_9a,DC,lateralorbitofrontal_2-rh,0.323821613504287
130,genz132_9a,DC,lateralorbitofrontal_3-lh,0.3234976942166113
131,genz132_9a,DC,lateralorbitofrontal_3-rh,0.2956728138958688
132,genz132_9a,DC,lateralorbitofrontal_4-lh,0.3129792132508098
133,genz132_9a,DC,lateralorbitofrontal_4-rh,0.313817517699587
134,genz132_9a,DC,lateralorbitofrontal_5-lh,0.2729351846254677
135,genz132_9a,DC,lateralorbitofrontal_5-rh,0.31198987834036934
136,genz132_9a,DC,lateralorbitofrontal_6-lh,0.2748430176239969
137,genz132_9a,DC,lateralorbitofrontal_6-rh,0.28905528505667333
138,genz132_9a,DC,lateralorbitofrontal_7-lh,0.30095705781368265
139,genz132_9a,DC,lateralorbitofrontal_7-rh,0.2994542473663302
140,genz132_9a,DC,lingual_1-lh,0.2566725388257964
141,genz132_9a,DC,lingual_1-rh,0.26081769451193704
142,genz132_9a,DC,lingual_2-lh,0.27575195284634985
143,genz132_9a,DC,lingual_2-rh,0.24902891656132647
144,genz132_9a,DC,lingual_3-lh,0.2568710180927911
145,genz132_9a,DC,lingual_3-rh,0.2633259698525631
146,genz132_9a,DC,lingual_4-lh,0.2744961333011247
147,genz132_9a,DC,lingual_4-rh,0.251026381387691
148,genz132_9a,DC,lingual_5-lh,0.2555796708500036
149,genz132_9a,DC,lingual_5-rh,0.25621157094423713
150,genz132_9a,DC,lingual_6-lh,0.28297684264222334
151,genz132_9a,DC,lingual_6-rh,0.2473970987575748
152,genz132_9a,DC,lingual_7-lh,0.2307907185788777
153,genz132_9a,DC,lingual_7-rh,0.27647221565340496
154,genz132_9a,DC,lingual_8-lh,0.2577579506014713
155,genz132_9a,DC,medialorbitofrontal_1-lh,0.28888105536231484
156,genz132_9a,DC,medialorbitofrontal_1-rh,0.2720229158876164
157,genz132_9a,DC,medialorbitofrontal_2-lh,0.27180214509865813
158,genz132_9a,DC,medialorbitofrontal_2-rh,0.24834544836128825
159,genz132_9a,DC,medialorbitofrontal_3-lh,0.29268631755925273
160,genz132_9a,DC,medialorbitofrontal_3-rh,0.2889460348559319
161,genz132_9a,DC,medialorbitofrontal_4-lh,0.2849112084080801
162,genz132_9a,DC,medialorbitofrontal_4-rh,0.29667138098212636
163,genz132_9a,DC,medialorbitofrontal_5-lh,0.29521332974927267
164,genz132_9a,DC,medialorbitofrontal_5-rh,0.30668665089176034
165,genz132_9a,DC,middletemporal_1-lh,0.29624196596260416
166,genz132_9a,DC,middletemporal_1-rh,0.2649658197458651
167,genz132_9a,DC,middletemporal_2-lh,0.29466475176978696
168,genz132_9a,DC,middletemporal_2-rh,0.29514160527146344
169,genz132_9a,DC,middletemporal_3-lh,0.25922355693765126
170,genz132_9a,DC,middletemporal_3-rh,0.28437665794187156
171,genz132_9a,DC,middletemporal_4-lh,0.2864377665027043
