,sid,freq,roi,aec
0,genz531_17a,DC,bankssts_1-lh,0.023551491647757997
1,genz531_17a,DC,bankssts_1-rh,0.2760163595766416
2,genz531_17a,DC,bankssts_2-lh,0.21043526858983858
3,genz531_17a,DC,bankssts_2-rh,0.29314899244531817
4,genz531_17a,DC,bankssts_3-lh,0.22818007263677667
5,genz531_17a,DC,bankssts_3-rh,0.3204919270379543
6,genz531_17a,DC,caudalanteriorcingulate_1-lh,0.2748177850469424
7,genz531_17a,DC,caudalanteriorcingulate_1-rh,0.2525473257319761
8,genz531_17a,DC,caudalanteriorcingulate_2-lh,0.2776748065119443
9,genz531_17a,DC,caudalanteriorcingulate_2-rh,0.2721484559010242
10,genz531_17a,DC,caudalanteriorcingulate_3-rh,0.2603040298627379
11,genz531_17a,DC,caudalmiddlefrontal_1-lh,0.27526227430166755
12,genz531_17a,DC,caudalmiddlefrontal_1-rh,0.27630567244812226
13,genz531_17a,DC,caudalmiddlefrontal_2-lh,0.24202230053157894
14,genz531_17a,DC,caudalmiddlefrontal_2-rh,0.31331877043535883
15,genz531_17a,DC,caudalmiddlefrontal_3-lh,0.26195412715317035
16,genz531_17a,DC,caudalmiddlefrontal_3-rh,0.2409687353959017
17,genz531_17a,DC,caudalmiddlefrontal_4-lh,0.24595440406888427
18,genz531_17a,DC,caudalmiddlefrontal_4-rh,0.26555085468030537
19,genz531_17a,DC,caudalmiddlefrontal_5-lh,0.27920728240253406
20,genz531_17a,DC,caudalmiddlefrontal_5-rh,0.29947033443874105
21,genz531_17a,DC,caudalmiddlefrontal_6-lh,0.2719576052745906
22,genz531_17a,DC,cuneus_1-lh,0.24826209843437436
23,genz531_17a,DC,cuneus_1-rh,0.25033874238076953
24,genz531_17a,DC,cuneus_2-lh,0.23357975807736248
25,genz531_17a,DC,cuneus_2-rh,0.2570051325810739
26,genz531_17a,DC,cuneus_3-lh,0.23909885887707533
27,genz531_17a,DC,cuneus_3-rh,0.2758310514981347
28,genz531_17a,DC,cuneus_4-rh,0.24695533042418305
29,genz531_17a,DC,entorhinal_1-lh,0.2786740919592457
30,genz531_17a,DC,entorhinal_1-rh,0.28969889383948044
31,genz531_17a,DC,frontalpole_1-lh,0.2953724689127829
32,genz531_17a,DC,frontalpole_1-rh,0.2962384376637776
33,genz531_17a,DC,fusiform_1-lh,0.2628186682659014
34,genz531_17a,DC,fusiform_1-rh,0.24599163733823362
35,genz531_17a,DC,fusiform_2-lh,0.2595955591151315
36,genz531_17a,DC,fusiform_2-rh,0.23466840502745817
37,genz531_17a,DC,fusiform_3-lh,0.27202885638532875
38,genz531_17a,DC,fusiform_3-rh,0.21786208480320776
39,genz531_17a,DC,fusiform_4-lh,0.25618034625672886
40,genz531_17a,DC,fusiform_4-rh,0.2658782092059582
41,genz531_17a,DC,fusiform_5-lh,0.2663966538514702
42,genz531_17a,DC,fusiform_5-rh,0.2611955479182702
43,genz531_17a,DC,fusiform_6-lh,0.2523743438353808
44,genz531_17a,DC,fusiform_6-rh,0.24525162886064897
45,genz531_17a,DC,fusiform_7-lh,0.28248730196694344
46,genz531_17a,DC,fusiform_7-rh,0.2660245751140619
47,genz531_17a,DC,fusiform_8-lh,0.2806070707636028
48,genz531_17a,DC,fusiform_8-rh,0.29151099691313703
49,genz531_17a,DC,inferiorparietal_1-lh,0.2630086358818133
50,genz531_17a,DC,inferiorparietal_1-rh,0.26512126604381075
51,genz531_17a,DC,inferiorparietal_10-lh,0.24903089211129006
52,genz531_17a,DC,inferiorparietal_10-rh,0.2588668682956404
53,genz531_17a,DC,inferiorparietal_11-rh,0.30030100441588664
54,genz531_17a,DC,inferiorparietal_12-rh,0.29734489719196155
55,genz531_17a,DC,inferiorparietal_2-lh,0.2805908132582037
56,genz531_17a,DC,inferiorparietal_2-rh,0.2657552865762768
57,genz531_17a,DC,inferiorparietal_3-lh,0.24250236221798216
58,genz531_17a,DC,inferiorparietal_3-rh,0.25777555967281296
59,genz531_17a,DC,inferiorparietal_4-lh,0.2543296795209448
60,genz531_17a,DC,inferiorparietal_4-rh,0.3028503647760978
61,genz531_17a,DC,inferiorparietal_5-lh,0.25881128900625794
62,genz531_17a,DC,inferiorparietal_5-rh,0.25339300526160524
63,genz531_17a,DC,inferiorparietal_6-lh,0.25914667379243034
64,genz531_17a,DC,inferiorparietal_6-rh,0.25782756800872975
65,genz531_17a,DC,inferiorparietal_7-lh,0.2757877175085348
66,genz531_17a,DC,inferiorparietal_7-rh,0.28031903992625773
67,genz531_17a,DC,inferiorparietal_8-lh,0.25879711546915435
68,genz531_17a,DC,inferiorparietal_8-rh,0.3028982973760721
69,genz531_17a,DC,inferiorparietal_9-lh,0.26041510827241204
70,genz531_17a,DC,inferiorparietal_9-rh,0.2776780224619938
71,genz531_17a,DC,inferiortemporal_1-lh,0.2847036928720908
72,genz531_17a,DC,inferiortemporal_1-rh,0.2671387330335721
73,genz531_17a,DC,inferiortemporal_2-lh,0.2874532532850692
74,genz531_17a,DC,inferiortemporal_2-rh,0.2668601584887036
75,genz531_17a,DC,inferiortemporal_3-lh,0.28236528014607054
76,genz531_17a,DC,inferiortemporal_3-rh,0.25178423152901097
77,genz531_17a,DC,inferiortemporal_4-lh,0.23086466409600065
78,genz531_17a,DC,inferiortemporal_4-rh,0.2890764241655518
79,genz531_17a,DC,inferiortemporal_5-lh,0.25712190871849994
80,genz531_17a,DC,inferiortemporal_5-rh,0.31277804568799644
81,genz531_17a,DC,inferiortemporal_6-lh,0.29788940734796887
