,sid,freq,roi,aec
0,genz335_13a,DC,bankssts_1-lh,0.0365784600459702
1,genz335_13a,DC,bankssts_1-rh,0.26034165624918776
2,genz335_13a,DC,bankssts_2-lh,0.22012183211193223
3,genz335_13a,DC,bankssts_2-rh,0.28250704772946594
4,genz335_13a,DC,bankssts_3-lh,0.27902996391851437
5,genz335_13a,DC,bankssts_3-rh,0.29396827638086837
6,genz335_13a,DC,caudalanteriorcingulate_1-lh,0.2503562243792268
7,genz335_13a,DC,caudalanteriorcingulate_1-rh,0.27347320967273436
8,genz335_13a,DC,caudalanteriorcingulate_2-lh,0.2832066402360482
9,genz335_13a,DC,caudalanteriorcingulate_2-rh,0.26596282960465273
10,genz335_13a,DC,caudalanteriorcingulate_3-rh,0.28372214810931745
11,genz335_13a,DC,caudalmiddlefrontal_1-lh,0.27049140274966565
12,genz335_13a,DC,caudalmiddlefrontal_1-rh,0.2940784224647308
13,genz335_13a,DC,caudalmiddlefrontal_2-lh,0.286110773887828
14,genz335_13a,DC,caudalmiddlefrontal_2-rh,0.24974107076058474
15,genz335_13a,DC,caudalmiddlefrontal_3-lh,0.27769730227314904
16,genz335_13a,DC,caudalmiddlefrontal_3-rh,0.2650161764331207
17,genz335_13a,DC,caudalmiddlefrontal_4-lh,0.30962790973504745
18,genz335_13a,DC,caudalmiddlefrontal_4-rh,0.2819602174094575
19,genz335_13a,DC,caudalmiddlefrontal_5-lh,0.264479818909922
20,genz335_13a,DC,caudalmiddlefrontal_5-rh,0.25024162710631837
21,genz335_13a,DC,caudalmiddlefrontal_6-lh,0.2671286595676353
22,genz335_13a,DC,cuneus_1-lh,0.28323558997896936
23,genz335_13a,DC,cuneus_1-rh,0.2504515378018257
24,genz335_13a,DC,cuneus_2-lh,0.28690235274356135
25,genz335_13a,DC,cuneus_2-rh,0.291810736653758
26,genz335_13a,DC,cuneus_3-lh,0.2630053623692214
27,genz335_13a,DC,cuneus_3-rh,0.29644877920212936
28,genz335_13a,DC,cuneus_4-rh,0.267408931123408
29,genz335_13a,DC,entorhinal_1-lh,0.29661135921350945
30,genz335_13a,DC,entorhinal_1-rh,0.27181861475078
31,genz335_13a,DC,frontalpole_1-lh,0.2906241960243695
32,genz335_13a,DC,frontalpole_1-rh,0.2851027563166627
33,genz335_13a,DC,fusiform_1-lh,0.2343639029257068
34,genz335_13a,DC,fusiform_1-rh,0.2893245262791066
35,genz335_13a,DC,fusiform_2-lh,0.26537572903242335
36,genz335_13a,DC,fusiform_2-rh,0.2728410381485509
37,genz335_13a,DC,fusiform_3-lh,0.27960876233357046
38,genz335_13a,DC,fusiform_3-rh,0.2850710536482367
39,genz335_13a,DC,fusiform_4-lh,0.27800438245545783
