,id,freq,0
0,GenZ_102_9a,DC,0.0
1,GenZ_102_9a,delta,0.0
2,GenZ_102_9a,theta,0.0
3,GenZ_102_9a,alpha,0.0
4,GenZ_102_9a,beta,0.0
5,GenZ_102_9a,gamma,0.0
6,GenZ_106_9a,DC,0.0
7,GenZ_106_9a,delta,0.0
8,GenZ_106_9a,theta,0.0
9,GenZ_106_9a,alpha,0.0
10,GenZ_106_9a,beta,0.0
11,GenZ_106_9a,gamma,0.0
12,GenZ_107_9a,DC,0.0
13,GenZ_107_9a,delta,0.0
14,GenZ_107_9a,theta,0.0
15,GenZ_107_9a,alpha,0.0
16,GenZ_107_9a,beta,0.0
17,GenZ_107_9a,gamma,0.0
18,GenZ_108_9a,DC,0.0
19,GenZ_108_9a,delta,0.0
20,GenZ_108_9a,theta,0.0
21,GenZ_108_9a,alpha,0.0
22,GenZ_108_9a,beta,0.0
23,GenZ_108_9a,gamma,0.0
24,GenZ_109_9a,DC,0.0
25,GenZ_109_9a,delta,0.0
26,GenZ_109_9a,theta,0.0
27,GenZ_109_9a,alpha,0.0
28,GenZ_109_9a,beta,0.0
29,GenZ_109_9a,gamma,0.0
30,GenZ_110_9a,DC,0.0
31,GenZ_110_9a,delta,0.0
32,GenZ_110_9a,theta,0.0
33,GenZ_110_9a,alpha,0.0
34,GenZ_110_9a,beta,0.0
35,GenZ_110_9a,gamma,0.0
36,GenZ_111_9a,DC,0.0
37,GenZ_111_9a,delta,0.0
38,GenZ_111_9a,theta,0.0
39,GenZ_111_9a,alpha,0.0
40,GenZ_111_9a,beta,0.0
41,GenZ_111_9a,gamma,0.0
42,GenZ_112_9a,DC,0.0
43,GenZ_112_9a,delta,0.0
44,GenZ_112_9a,theta,0.0
45,GenZ_112_9a,alpha,0.0
46,GenZ_112_9a,beta,0.0
47,GenZ_112_9a,gamma,0.0
48,GenZ_113_9a,DC,0.0
49,GenZ_113_9a,delta,0.0
50,GenZ_113_9a,theta,0.0
51,GenZ_113_9a,alpha,0.0
52,GenZ_113_9a,beta,0.0
53,GenZ_113_9a,gamma,0.0
54,GenZ_114_9a,DC,0.0
55,GenZ_114_9a,delta,0.0
56,GenZ_114_9a,theta,0.0
57,GenZ_114_9a,alpha,0.0
58,GenZ_114_9a,beta,0.0
59,GenZ_114_9a,gamma,0.0
60,GenZ_115_9a,DC,0.0
61,GenZ_115_9a,delta,0.0
62,GenZ_115_9a,theta,0.0
63,GenZ_115_9a,alpha,0.0
64,GenZ_115_9a,beta,0.0
65,GenZ_115_9a,gamma,0.0
66,GenZ_116_9a,DC,0.0
67,GenZ_116_9a,delta,0.0
68,GenZ_116_9a,theta,0.0
69,GenZ_116_9a,alpha,0.0
70,GenZ_116_9a,beta,0.0
71,GenZ_116_9a,gamma,0.0
72,GenZ_117_9a,DC,0.0
